author,total_top15_conferences,last_affiliation,NeurIPS,ACL,CVPR,ECCV,EMNLP,IJCNLP,ICLR,WS,COLING,LREC,ICCV,SEMEVAL,ICML,RANLP,JEPTALNRECITAL,orcid,last_affiliation_country
Johannes Heinecke,16,Orange (France),0.0,5.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,3.0,0.0,1.0,0.0,0.0,2.0,0,FR
Victoria Arranz,16,Evaluations and Language resources Distribution Agency,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0,FR
Yoann Dupont,16,Sorbonne Université,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,11.0,0,FR
Stamatios Georgoulis,15,Huawei Technologies (France),1.0,0.0,4.0,3.0,0.0,0.0,2.0,0.0,0.0,0.0,4.0,0.0,1.0,0.0,0.0,0,FR
Charles Herrmann,15,Université Paris Cité,2.0,0.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0,FR
Christian Boitet,15,Université Grenoble Alpes,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,6.0,0.0,0.0,0.0,0.0,0.0,4.0,0,FR
Laurence Danlos,15,Université Paris Cité,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.0,2.0,0.0,0.0,0.0,0.0,7.0,0,FR
Joseph Mariani,15,Université Paris-Saclay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,13.0,0.0,0.0,0.0,0.0,0.0,0,FR
Michael Filhol,15,Université Paris-Saclay,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,0.0,0.0,0.0,0.0,3.0,https://orcid.org/0000-0002-3389-0412,FR
Solange Rossato,15,Université Grenoble Alpes,0.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,4.0,0.0,0.0,0.0,0.0,7.0,https://orcid.org/0000-0002-4698-774X,FR
Delphine Battistelli,15,Université Paris Cité,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,1.0,4.0,0.0,0.0,0.0,1.0,6.0,0,FR
Iris Eshkol-Taravella,15,Modèles Dynamiques Corpus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,11.0,0,FR
Chloé Clavel,14,Institut polytechnique de Paris,1.0,2.0,0.0,0.0,3.0,1.0,0.0,0.0,2.0,4.0,0.0,0.0,1.0,0.0,0.0,https://orcid.org/0000-0003-4850-3398,FR
Michael Arbel,14,Université Grenoble Alpes,6.0,0.0,2.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Spyros Gidaris,14,Valeo (France),1.0,0.0,8.0,2.0,0.0,0.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0003-1515-3635,FR
Edmond Boyer,14,Université Grenoble Alpes,0.0,0.0,10.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0,FR
Vianney Perchet,14,Institut polytechnique de Paris,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Ariadna Quattoni,14,Xerox (France),1.0,5.0,1.0,0.0,3.0,1.0,0.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0,FR
Stéphane Lathuilière,14,Institut polytechnique de Paris,1.0,0.0,5.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,https://orcid.org/0000-0001-6927-8930,FR
Antoine Doucet,14,University of La Rochelle,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,1.0,https://orcid.org/0000-0001-6160-3356,FR
Guy Lapalme,14,Département d'Informatique,0.0,4.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0,FR
Damien Nouvel,14,Institut National des Langues et Civilisations Orientales,0.0,1.0,0.0,0.0,0.0,1.0,0.0,3.0,0.0,2.0,0.0,1.0,0.0,0.0,6.0,0,FR
Richard Dufour,14,Université Paris Cité,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,9.0,0,FR
Djamé Seddah,14,Sorbonne Université,0.0,10.0,0.0,0.0,2.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0,FR
Pierre-Yves Oudeyer,13,Institut polytechnique de Paris,4.0,1.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0,FR
