numero_national_de_structure;libelle;sigle;annee_de_creation;type_de_structure;code_de_type_de_structure;code_de_niveau_de_structure;site_web;adresse;code_postal;commune;nom_du_responsable;prenom_du_responsable;titre_du_responsable;label_numero;tutelles;sigles_des_tutelles;code_de_nature_de_tutelle;nature_de_tutelle;uai_des_tutelles;siret_des_tutelles;code_de_type_de_tutelle;type_de_tutelle;numero_de_structure_enfant;numero_de_structure_parent;numero_de_structure_historique;type_de_succession;code_de_type_de_succession;annee_d_effet_historique;code_domaine_scientifique;domaine_scientifique;code_panel_erc;panel_erc;fiche_rnsr
199911704F;CENTRE D' ÉNERGÉTIQUE ET DE THERMIQUE DE LYON;CETHIL;1999;Unité mixte;22;2;http://cethil.insa-lyon.fr;Domaine Scientifique de La Doua;69621;VILLEURBANNE CEDEX;KUZNIK,SARTRE;Frédéric,Valérie;DIR,;UMR 5008,UMR 5008,UMR 5008;Institut National des Sciences Appliquées Lyon,Université Claude Bernard Lyon 1,Centre national de la recherche scientifique;INSA LYON,LYON 1,CNRS;AUT_ETAB,UNIV,EPST;Autres établissements ESR,Université,Organismes de type EPST;0690192J,0691774D,0753639Y;19690192000013,19691774400019,18008901303720;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;201119599K;;;;;8;Sciences pour l'ingénieur;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911704F&PUBLIC=OK
199911718W;LABORATOIRE D'ECOLOGIE DES HYDROSYSTEMES NATURELS ANTHROPISES;LEHNA;1999;Unité mixte;22;2;http://umr5023.univ-lyon1.fr/;43 blvd du 11 Novembre 1918;69622;VILLEURBANNE CEDEX;ESCARGUEL,MONDY;Gilles,Nathalie;DIR-ADJ,Directrice;UMR 5023,UMR 5023,UMR 5023,USC 1369;Université Claude Bernard Lyon 1,Ecole Nationale des Travaux Publics de l'Etat Lyon,Centre national de la recherche scientifique,Institut national de recherche pour l'agriculture, l'alimentation et l'environnement;LYON 1,ENTPE LYON,CNRS,INRAE;UNIV,AUT_ETAB,EPST,EPST;Université,Autres établissements ESR,Organismes de type EPST,Organismes de type EPST;0691774D,0692566P,0753639Y,;19691774400019,13000288400018,18008901303720,18007003901803;TUTE,TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement participant;;201119591B,201622549V;;;;;10;Sciences agronomiques et écologiques;"LS8;LS4;PE10";Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling,Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases)),Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199911718W&PUBLIC=OK
199511753B;Institut d'Asie Orientale;IAO;1999;Unité mixte;22;2;http://iao.ish-lyon.cnrs.fr/francais/index.html;15 Parvis Rene Descartes;69342;LYON CEDEX 07;JALUZOT,CHEVALEYRE;Béatrice,Claude;Directrice,Directeur adjoint;UMR 5062,UMR 5062,UMR 5062,UMR 5062;Institut Etudes Politiques Lyon,Université Lumière Lyon 2,Centre national de la recherche scientifique,Ecole Normale Supérieure de Lyon;IEP LYON,LYON 2,CNRS,ENS LYON;AUT_ETAB,UNIV,EPST,AUT_ETAB;Autres établissements ESR,Université,Organismes de type EPST,Autres établissements ESR;0690173N,0691775E,0753639Y,0694123G;19690173000024,19691775100014,18008901303720,13000812100019;TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;6;Sciences humaines et humanités;SH5;Cultures and Cultural Production : Literary studies, cultural studies, study of the arts, philosophy;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199511753B&PUBLIC=OK
199612385J;LABORATOIRE D'ACOUSTIQUE DE L'UNIVERSITE DU MANS;LAUM;1996;Unité mixte;22;2;http://laum.univ-lemans.fr;Université du Mans avenue Olivier Messiaen;72085;LE MANS CEDEX 9;FELIX,DAZEL,PICART;Simon,Olivier,Pascal;DIR-ADJ,Directeur,DIR-ADJ;UMR 6613,UMR 6613,;Le Mans Université,Centre national de la recherche scientifique,Ecole Supérieure d'Electronique de l'Ouest (campus d'Angers);LE MANS,CNRS,ESEO;UNIV,EPST,AUT_ETAB;Université,Organismes de type EPST,Autres établissements ESR;0720916E,0753639Y,0490075R;19720916600010,18008901303720,78611671500065;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;8;Sciences pour l'ingénieur;PE3;Condensed matter physics : structure, electronic properties, fluids, nanosciences, biological physics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199612385J&PUBLIC=OK
199612396W;INSTITUT DE RECHERCHE MATHEMATIQUE DE RENNES;IRMAR;1996;Unité mixte;22;2;http://irmar.univ-rennes1.fr/;263 avenue du Général Leclerc;35042;RENNES CEDEX;GRADINARU,BOUCHER;Mihai,Delphine;directeur,directrice-adjointe;UMR 6625,UMR 6625,UMR 6625,UMR 6625,UMR 6625,UMR 6625,UMR 6625;Institut National des Sciences Appliquées Rennes,Université Rennes 2,Centre national de la recherche scientifique,Ecole normale supérieure de Rennes,Université de Rennes (EPE),Institut national de la recherche en informatique et automatique,Institut national d'enseignement supérieur pour l'agriculture, l'alimentation et l'environnement;INSA RENNES,RENNES 2,CNRS,ENS RENNES,RENNES,INRIA,Institut Agro;AUT_ETAB,UNIV,EPST,AUT_ETAB,UNIV,EPST,AUT_ETAB;Autres établissements ESR,Université,Organismes de type EPST,Autres établissements ESR,Université,Organismes de type EPST,Autres établissements ESR;0350097R,0350937D,0753639Y,0352440M,0353074B,0780491K,;19350097200016,19350937900015,18008901303720,13001848400019,13003051300019,18008904700013,13002622200013;TUTE,TUTE,TUTE,TUTE,TUTE,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant;201822635E,201822633C,200919001U,200518358M,200418360U;;;;;;1;Mathématiques et leurs interactions;PE1;Mathematics : All areas of mathematics, pure and applied, plus mathematical foundations of computer science, mathematical physics and statistics;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199612396W&PUBLIC=OK
199612400A;LABORATOIRE DE MATHEMATIQUES JEAN LERAY;LMJL;1996;Unité mixte;22;2;http://www.math.sciences.univ-nantes.fr/;2 rue de la Houssinière;44322;NANTES CEDEX 3;COLIN;Vincent;;UMR 6629,UMR 6629,;Centre national de la recherche scientifique,Nantes Université,Ecole Centrale de Nantes;CNRS,Nantes Université,EC. CENTRALE NANTES;EPST,UNIV,AUT_ETAB;Organismes de type EPST,Université,Autres établissements ESR;0753639Y,0442953W,0440100V;18008901303720,13002974700016,19440100600011;TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement participant;;200810693T;;;;;1;Mathématiques et leurs interactions;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199612400A&PUBLIC=OK
199912442H;Archéologies et Sciences de l'Antiquité;ArScAn;1999;Unité mixte;22;2;http://www.arscan.fr/archeologies-et-sciences-de-lantiquite-arscan/;Maison Archéologie & Ethnologie, René-Ginouvès 21 Allée de l’Université;92000;Nanterre;BOISSAVIT-CAMUS,SZABADOS,VILLENEUVE;Brigitte,Anne Violaine,François;Directrice-adjointe,Directrice-adjointe,DIR;UMR 7041,UMR 7041,,UMR 7041,,UMR 7041;Université Panthéon-Sorbonne Paris 1,Université Paris Nanterre,Université Vincennes-Saint Denis Paris 8,Centre national de la recherche scientifique,Ministère de la culture,Institut National de Recherches Archeologiques Preventives;PARIS 1,PARIS 10,PARIS 8,CNRS,MIN.CULT,INRAP;UNIV,UNIV,UNIV,EPST,AUT_OP_FR,EPA;Université,Université,Université,Organismes de type EPST,Autre opérateur de droit français,Etablissement public à caractère administratif;0751717J,0921204J,0931827F,0753639Y,,0755502Y;19751717000019,19921204400010,19931827000014,18008901303720,11004601800013,18009226400225;TUTE,TUTE,TUTE,TUTE,TUTE,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement participant;;;;;;;6,7;Sciences humaines et humanités,Sciences de la société;SH6;The Study of the Human Past : Archaeology and history;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199912442H&PUBLIC=OK
200812285Y;CHRONO-ENVIRONNEMENT;CHRONO;2008;Unité mixte;22;2;http://chrono-environnement.univ-fcomte.fr/;16 Route de Gray;25030;BESANCON CEDEX;GAUTHIER;Emilie;;UMR 6249,UMR 6249,UMR 6249,,UMR 6249;Université Franche-Comté Besançon,Centre national de la recherche scientifique,Université Bourgogne Franche-Comté,Ministère de la culture,Institut National de Recherches Archeologiques Preventives;BESANCON,CNRS,UBFC,MIN.CULT,INRAP;UNIV,EPST,SITE,AUT_OP_FR,EPA;Université,Organismes de type EPST,Site,Autre opérateur de droit français,Etablissement public à caractère administratif;0251215K,0753639Y,0251985X,,0755502Y;19251215000363,18008901303720,13002091000019,11004601800013,18009226400225;TUTE,TUTE,TUTE,PART,PART;établissement tutelle,établissement tutelle,établissement tutelle,établissement participant,établissement participant;201120530X;201120530X,201421798M;200014485Z,200014483X,199612346S,199814156A,199613835K,200416952N;"éclatement - fusion;éclatement - fusion;éclatement - fusion;éclatement - fusion;éclatement - fusion;intégration";"EF;EF;EF;EF;EF;I";"2008;2008;2008;2008;2008;2012";;;"LS9;LS7;SH6;LS8;LS2;PE10;LS1;LS4;LS6";Biotechnology and Biosystems Engineering : Biotechnology using all organisms, biotechnology for environment and food applications, applied plant and animal sciences, bioengineering and synthetic biology, biomass and biofuels, biohazards,Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine,The Study of the Human Past : Archaeology and history,Environmental Biology, Ecology and Evolution : Ecology, biodiversity, environmental change, evolutionary biology, behavioural ecology, microbial ecology, marine biology, ecophysiology, theoretical developments and modelling,Integrative Biology: from Genes and Genomes to Systems : Genetics, epigenetics, genomics and other ‘omics studies, bioinformatics, systems biology, genetic diseases, gene editing, innovative methods and modelling, ‘omics for personalised medicine,Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,Molecules of Life: Biological Mechanisms, Structures and Functions : Molecular biology, biochemistry, structural biology, molecular biophysics, synthetic and chemical biology, drug design, innovative methods and modelling,Physiology in Health, Disease and Ageing : Organ and tissue physiology, comparative physiology, physiology of ageing, pathophysiology, inter-organ and tissue communication, endocrinology, nutrition, metabolism, interaction with the microbiome, non-communicable diseases including cancer (and except disorders of the nervous system and immunity-related diseases)),Immunity, Infection and Immunotherapy : The immune system, related disorders and their mechanisms, biology of infectious agents and infection, biological basis of prevention and treatment of infectious diseases, innovative immunological tools and approaches, including therapies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200812285Y&PUBLIC=OK
199221775H;Direction de la Recherche et Innovation;CHUT-DRI;1992;Equipe interne;1;1;https://www.chu-toulouse.fr/;Hôtel-Dieu, 2 rue Viguerie;31059;Toulouse;LAIREZ;Olivier;;;Centre Hospitalier Universitaire de Toulouse;CHU Toulouse;MEDIC;Etablissements de santé;;26310012500016;TUTE;établissement tutelle;;;;;;;;;LS7;Prevention, Diagnosis and Treatment of Human Diseases : Medical technologies and tools for prevention, diagnosis and treatment of human diseases, therapeutic approaches and interventions, pharmacology, preventative medicine, epidemiology and public health, digital medicine;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199221775H&PUBLIC=OK
199612302U;LABORATOIRE DE CHIMIE MOLECULAIRE ET THIO-ORGANIQUE;LCMT;1996;Unité mixte;22;2;http://lcmt.ensicaen.fr;6 Bvd du Maréchal Juin;14050;CAEN CEDEX 4;LEQUEUX;Thierry;;UMR 6507,UMR 6507,UMR 6507;Université de Caen Normandie,Ecole Nationale Supérieure Ingénieurs Caen,Centre national de la recherche scientifique;CAEN,ENSI CAEN,CNRS;UNIV,AUT_ETAB,EPST;Université,Autres établissements ESR,Organismes de type EPST;0141408E,0141720U,0753639Y;19141408500016,19141720300012,18008901303720;TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle;;200810697X;;;;;4;Chimie;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199612302U&PUBLIC=OK
199612340K;LITTORAL, ENVIRONNEMENT, TELEDETECTION, GEOMATIQUE;LETG;1996;Unité mixte;22;2;http://letg.cnrs.fr;Nantes université Campus Tertre BP 81227;44312;Nantes cedex 3;TROUILLET,MAANAN,CORPETTI,TISSOT;Brice,Mohamed,Thomas,Cyril;Directeur,Directeur adjoint,Directeur - adjoint,Directeur-adjoint;UMR 6554,UMR 6554,UMR 6554,,UMR 6554;Université de Brest,Université Rennes 2,Centre national de la recherche scientifique,Université Paris sciences et lettres,Nantes Université;BREST,RENNES 2,CNRS,PSL,Nantes Université;UNIV,UNIV,EPST,UNIV,UNIV;Université,Université,Organismes de type EPST,Université,Université;0290346U,0350937D,0753639Y,0756036D,0442953W;19290346600014,19350937900015,18008901303720,13002614900018,13002974700016;TUTE,TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;;;;;;;3,6,7,10;Sciences de la terre et de l'univers, espace,Sciences humaines et humanités,Sciences de la société,Sciences agronomiques et écologiques;"PE10;SH3";Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management,The Social World and Its Diversity : Sociology, social psychology, social anthropology, education sciences, communication studies;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199612340K&PUBLIC=OK
201722457R;Institut Brestois Numérique Mathématiques;IBNM;2017;Structures Fédératives de Recherche;3;3;;20 Avenue Victor Le Gorgeu;29238;BREST Cedex;NANA;Laurent;;;Université de Brest;BREST;UNIV;Université;0290346U;19290346600014;TUTE;établissement tutelle;;;;;;;1;Mathématiques et leurs interactions;;;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=201722457R&PUBLIC=OK
199712664H;Milieux Environnementaux, Transferts et Interactions dans les hydrosystèmes et les Sols;METIS;1997;Unité mixte;22;2;http://www.metis.upmc.fr;4 place Jussieu;75252;PARIS CEDEX 05;MOUCHEL,REJIBA,DERENNE;Jean-Marie,Faycal,Sylvie;DIR,DIR-ADJ,DIR-ADJ;UMR 7619,UMR 7619,UMR 7619,UMR 7619;Ecole Pratique des Hautes Etudes Paris,Centre national de la recherche scientifique,Sorbonne Université,Université Paris sciences et lettres;EPHE PARIS,CNRS,SORBONNE UNIV.,PSL;AUT_ETAB,EPST,UNIV,UNIV;Autres établissements ESR,Organismes de type EPST,Université,Université;0753486G,0753639Y,0755890V,0756036D;19753486000105,18008901303720,13002338500011,13002614900018;TUTE,TUTE,TUTE,TUTE;établissement tutelle,établissement tutelle,établissement tutelle,établissement tutelle;201220920S;201220920S,200610636P;;;;;3;Sciences de la terre et de l'univers, espace;PE10;Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199712664H&PUBLIC=OK
199712666K;Laboratoire d'océanographie microbienne;LOMIC;1997;Unité mixte;22;2;http://lomic.obs-banyuls.fr;;66651;BANYULS SUR MER CEDEX;ORTEGA-RETUERTA,JOUX;Eva,Fabien;Directrice-adjointe,DIR;UMR 7621,UMR 7621;Centre national de la recherche scientifique,Sorbonne Université;CNRS,SORBONNE UNIV.;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0755890V;18008901303720,13002338500011;TUTE,TUTE;établissement tutelle,établissement tutelle;201522729V;201522729V;;;;;3,10;Sciences de la terre et de l'univers, espace,Sciences agronomiques et écologiques;PE10;Earth System Science : Physical geography, geology, geophysics, atmospheric sciences, oceanography, climatology, cryology, ecology, global environmental change, biogeochemical cycles, natural resources management;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=199712666K&PUBLIC=OK
200512540N;Génétique moléculaire, génomique et microbiologie (UMR 7156);GMGM;2005;Unité mixte;22;2;http://gmgm.unistra.fr/;21 rue René Descartes;67084;STRASBOURG CEDEX;SCHACHERER,CHARVIN;Joseph,Gilles;Directeur adjoint,Directeur;UMR 7156,UMR 7156;Centre national de la recherche scientifique,Université Strasbourg;CNRS,U. STRASBOURG;EPST,UNIV;Organismes de type EPST,Université;0753639Y,0673021V;18008901303720,13000545700010;TUTE,TUTE;établissement tutelle,établissement tutelle;;;;;;;5;Biologie, médecine et santé;SH2;Institutions, Governance and Legal Systems : Political science, international relations, law;https://appliweb.dgri.education.fr/rnsr/PresenteStruct.jsp?numNatStruct=200512540N&PUBLIC=OK
