institution_country_code,year,institution_id,institution_display_name,institution_ror,institution_type,nb,id_paysage_init,id_paysage__init,id_paysage_corr,id_paysage_RGP,id_paysage,id_paysage_actuel,uo_lib
FR,2023,https://openalex.org/I1326498283,French Institute for Research in Computer Science and Automation,02kvxyf05,government,921,E1Wdn,,,,E1Wdn,E1Wdn,Institut national de recherche en sciences et technologies du numérique
FR,2018,https://openalex.org/I90183372,Université de Lorraine,04vfs2w97,education,918,t6Cq5,,,LorStr,t6Cq5,t6Cq5,Université de Lorraine
FR,2020,https://openalex.org/I2746051580,Université Paris Sciences et Lettres,013cjyk83,education,917,PpsCQ,,,PpsCQ,PpsCQ,PpsCQ,Université Paris sciences et lettres
FR,2022,https://openalex.org/I56067802,University of Rennes,015m7wh34,education,917,91D9w,91D9w,9wAap,91D9w,9wAap,91D9w,Université de Rennes
FR,2023,https://openalex.org/I2746051580,Université Paris Sciences et Lettres,013cjyk83,education,912,PpsCQ,,,PpsCQ,PpsCQ,PpsCQ,Université Paris sciences et lettres
FR,2021,https://openalex.org/I21491767,Aix-Marseille University,035xkbk20,education,911,xJdyB,,,TW2ed,xJdyB,xJdyB,Aix-Marseille Université
FR,2019,https://openalex.org/I2746051580,Université Paris Sciences et Lettres,013cjyk83,education,909,PpsCQ,PpsCQ,Olkw0,PpsCQ,Olkw0,PpsCQ,Université Paris sciences et lettres
FR,2018,https://openalex.org/I21491767,Aix-Marseille University,035xkbk20,education,896,xJdyB,,,TW2ed,xJdyB,xJdyB,Aix-Marseille Université
FR,2023,https://openalex.org/I56067802,University of Rennes,015m7wh34,education,888,91D9w,,,91D9w,91D9w,91D9w,Université de Rennes
FR,2021,https://openalex.org/I134560555,Université Toulouse III - Paul Sabatier,02v6kpv12,education,883,m7K6T,,,4a8B2,m7K6T,m7K6T,Université Toulouse III - Paul Sabatier
FR,2020,https://openalex.org/I56067802,University of Rennes,015m7wh34,education,879,91D9w,91D9w,9wAap,91D9w,9wAap,91D9w,Université de Rennes
FR,2019,https://openalex.org/I15057530,University of Bordeaux,057qpr032,education,872,90I54,,,XeJDw,90I54,90I54,Université de Bordeaux
FR,2020,https://openalex.org/I134560555,Université Toulouse III - Paul Sabatier,02v6kpv12,education,870,m7K6T,,,4a8B2,m7K6T,m7K6T,Université Toulouse III - Paul Sabatier
FR,2018,https://openalex.org/I102197404,University of Paris-Sud,028rypz17,education,868,u13se,,,G2qA7,u13se,G2qA7,Université Paris-Saclay
FR,2019,https://openalex.org/I106785703,Grenoble Institute of Technology,05sbt2524,education,867,2ALYK,,,Y7ch7,2ALYK,2ALYK,Institut polytechnique de Grenoble
FR,2019,https://openalex.org/I134560555,Université Toulouse III - Paul Sabatier,02v6kpv12,education,867,m7K6T,,,4a8B2,m7K6T,m7K6T,Université Toulouse III - Paul Sabatier
FR,2022,https://openalex.org/I15057530,University of Bordeaux,057qpr032,education,856,90I54,,,XeJDw,90I54,90I54,Université de Bordeaux
FR,2019,https://openalex.org/I102197404,University of Paris-Sud,028rypz17,education,850,u13se,,,G2qA7,u13se,G2qA7,Université Paris-Saclay
FR,2019,https://openalex.org/I2279609970,University of Lille,02kzqn938,education,840,U8a0v,U8a0v,Szqy5,U8a0v,Szqy5,U8a0v,Université de Lille
FR,2020,https://openalex.org/I15057530,University of Bordeaux,057qpr032,education,825,90I54,,,XeJDw,90I54,90I54,Université de Bordeaux
FR,2018,https://openalex.org/I2279609970,University of Lille,02kzqn938,education,813,U8a0v,U8a0v,Szqy5,U8a0v,Szqy5,U8a0v,Université de Lille
